id,smiles,chain_size,xx,yy,zz,static_polarizability
5706845,CCOC(=O)/C=C(\N)/NNC(=O)C1=CN=CC=C1,2,476.094917592,511.043918718,479.184779775,488.774538695
91685099,COC1=C(C=CC(=C1)/C=C/C(=O)OCC#C)OCC2=CC=C(C=C2)F,1,308.95045107,298.766062298,477.436859254,361.717790874
14151012,COC1=C(C=C(C=C1)/C=C/C(=O)OC/C=C/C2=CC=CC=C2)O,2,664.042105379,726.758445218,755.641642719,715.4807311053333
91685319,CCOC(=O)/C=C/C1=CC(=C(C(=C1)Br)OCC2=CC=C(C=C2)[N+](=O)[O-])OC,2,876.26217941,958.045597606,592.177780715,808.8285192436666
3022436,CCCCCCCC(C)COC(=O)C=C,1,209.389134277,228.840692632,232.01771362,223.41584684300003
86713398,CCOC(=O)/C(=C/C1=C(C=CC(=C1)Br)[N+](=O)[O-])/CC#N,1,355.602240244,255.123851186,226.249951391,278.99201427366665
91675618,C#CCOC(=O)/C=C/C1=CC=C(O1)C2=CC(=C(C=C2)F)Cl,2,684.230658806,420.292341153,831.670273008,645.3977576556666
71375967,C=CC(=O)OCCCCOC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,0,183.748691583,217.17252913,162.820015406,187.913745373
59242192,CCOC(=O)/C=C/C1=CC(=C(N=C1)NCCNC(=O)OC(C)(C)C)Cl,2,709.503368722,760.739694572,671.35720311,713.866755468
91684898,COC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC=C(C=C2)[N+](=O)[O-])I,1,300.849215508,399.569091107,359.253727066,353.22401122699995
101950704,CC(C)(C)OC(=O)/C=C/C1=CN(N=C1)C,1,172.319118434,219.865603993,221.830142073,204.6716215
66927214,CCN1C=C(C2=C(C(=CC(=C21)F)/C=C/C(=O)OC)OC)CC(=O)NC,0,82.3911305031,221.931315718,306.546925902,203.62312404103332
70446470,CCCCCC1CCC(CC1)/C=C/C(=O)OCC,0,129.865013811,143.658370371,156.184543892,143.23597602466666
15696498,CCOC(=O)/C=C/C1=CC(=CS1)Br,2,408.755825967,356.95898868,453.040171527,406.25166205799997
6106576,COC1=CC=C(C=C1)OC2=C(C(=O)N3C=CC=CC3=N2)/C=C(\C#N)/C(=O)OC,1,350.796974978,520.934698048,387.916730254,419.8828010933333
70480932,CC1(C2CCC1(CC2OC(=O)C=C)C)C,0,116.935357252,99.4320430623,106.885792978,107.75106443076668
91685053,CCOC(=O)/C=C/C1=CC(=C(C(=C1)Cl)OCC2=CC(=CC=C2)F)OC,0,114.813451307,244.145765985,238.859112868,199.27277672
244551,CCOC(=O)C(=CNC1=CC=C(C=C1)C)C#N,1,190.600550141,238.394263482,312.85419781,247.283003811
91686159,C=CCOC(=O)/C=C/C1=CC(=C(C(=C1)Br)OCC2=CC=CC3=CC=CC=C32)Cl,2,891.053993267,741.778463081,1124.2768891,919.0364484826667
2747745,CCOC(=O)C(=C(SC)SC)C#N,2,384.912201363,406.797260401,379.317299917,390.34225389366674
21871648,C=CC(=O)OC1=CC=CC=C1O,1,163.468887118,148.414562323,185.72975748,165.87106897366667
155921209,CCOC(=O)/C=C/C1=C2C(=CN=C1)C=CC=N2,1,302.887360885,162.402365535,279.789133964,248.359620128
129858029,C=CC(=O)ON=[N+]=[N-],2,251.342160213,115.913048493,190.333064944,185.86275788333333
91684690,COC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CC(=CC=C2)F)Cl,2,596.103050722,657.921711609,616.263012816,623.4292583823334
736274,CCOC(=O)/C(=C/C1=CN=CC=C1)/C#N,2,426.167106806,387.652781,359.207799719,391.009229175
57757929,CCOC(=O)/C=C/C1=CN2C(=C1C3=CC=C(C=C3)[N+](=O)[O-])C(=NC=N2)N,1,441.189431762,434.348302734,304.752431536,393.430055344
3022441,CCCCCCCCCCCCC(C)COC(=O)C=C,2,581.094864133,606.151496153,666.791972194,618.0127774933334
129762066,C=CCC1=NN=NN1OC(=O)C=C,0,59.0721731575,63.7911397449,114.015178518,78.95949714013334
86603741,CCOC(=O)/C=C/C1=CC(=C(N=C1)N[C@@H]2CCN(C2)C3=NC=CC=N3)Cl,0,325.22642318,199.630224261,187.734429811,237.530359084
13643270,C=CC(=O)OC(COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O)COC3=CC(=C(C=C3)C(=O)C4=CC=CC=C4)O,1,551.915645053,620.693662512,693.461417178,622.0235749143334
57892459,C[C@H](/C=C\C(=O)N(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)/C=C/C3=CCCC(C3)[N+](=O)[O-],2,1056.26650596,976.212031224,1068.90507454,1033.7945372413333
139030441,CCCCC1=C(C2=CC=CC=C2O1)/C=C/C(=O)OC,0,211.38207154,149.235763692,121.955345743,160.85772699166668
131748450,CC1=NN(N=N1)CC2=C(C=CC(=C2)OC(F)F)C=CC(=O)[O-],2,692.065231135,503.952886958,538.257823948,578.0919806803332
76599744,C=CC(=O)OCC=CC(C(F)(F)F)(C(F)(F)F)F,2,370.815910291,327.647849229,327.562739993,342.00883317099994
12026123,CCOC(=O)C(=C)CC1=CC=C(C=C1)Br,2,570.084552431,434.013591942,403.256428882,469.11819108500003
86616156,CC(=O)NC1=NC(=C(S1)CC2=CC=C(C=C2)S(=O)(=O)C)C3=CC=C(C=C3)/C=C/C(=O)OC,0,375.523785972,192.112335355,343.264673829,303.6335983853333
86730675,CCOC(=O)/C=C/C1=CC=C(C=C1)N(C)C2=C(SC3=C2C=CC(=C3)OC)C4=CC=C(C=C4)OC,1,577.9998362,643.169711317,677.330794405,632.8334473073334
17111,CN(C)CCOC(=O)C=C,0,49.0592265249,66.321862551,86.7770577218,67.38604893256667
68919865,CC(C)CC1=CC=C(N1C2=C(C=C(C=C2)Cl)C(C3=C(C(=CC=C3)OC)OC)O)C=CC(=O)OC,2,906.177101915,1115.18136408,1038.81384592,1020.057437305
66590666,CCCCCNC(=O)N(C)C1=CC=CC(=N1)C2=C(C=C(C=C2)/C=C/C(=O)OC)OCCCC,1,456.084871743,622.096488487,537.447825439,538.5430618896667
18979434,C=CC(=O)OCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3CCC(CC3)CCC4OCCO4,2,1143.56074565,1232.72557504,1124.94230458,1167.0762084233334
11791213,COC1=CC(=C(C=C1)/C=C/C(=O)OC)[N+](=O)[O-],0,203.09513642,46.5651659564,156.165952689,135.27541835513333
42553154,CCOC(=O)/C=C/C1=CN=C(C=C1)OC2CCCC2,1,326.087184312,258.495494179,234.481228981,273.02130249066664
69237271,C=CC(=O)OC1=CC=CC2=C1N(C3=CC=CC=C23)CCO,2,790.189966515,563.605720518,728.269557325,694.0217481193334
170907205,C1=CC(=CC(=C1)O)CCOC(=O)/C=C/C2=CC(=C(C=C2)Cl)O,1,364.358829105,298.828711691,261.292801,308.160113932
6436404,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)OC(=O)/C=C/C4=CC=CO4)(C)O)C)C)O)(C)O,2,2198.92439284,1912.80068421,2009.04848751,2040.2578548533336
17259,CCCCCCOC(=O)C=C,0,84.3720745831,88.0898053302,62.163646732,78.20850888176666
